directory,metadata,sample_number,fastq_filename,fastq,sample,date,origin_O2,O2,week,replicate,type
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_26_LOW6_[LakWasMet26_LOW6]/Raw_Data/8776.5.111705.GTGGCC.fastq.gz,26_LOW6,26,8776.5.111705.GTGGCC.fastq.gz,8776.5.111705.GTGGCC,mg26L_6,June-10-2014,low,low,6,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_32_HOW6_[LakWasMet32_HOW6]/Raw_Data/8776.5.111705.GGTAGC.fastq.gz,32_HOW6,32,8776.5.111705.GGTAGC.fastq.gz,8776.5.111705.GGTAGC,mg32H_6,June-10-2014,high,high,6,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_27_LOW6_[LakWasMet27_LOW6]/Raw_Data/8776.5.111705.GTTTCG.fastq.gz,27_LOW6,27,8776.5.111705.GTTTCG.fastq.gz,8776.5.111705.GTTTCG,mg27L_6,June-10-2014,low,low,6,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_33_HOW6_[LakWasMet33_HOW6]/Raw_Data/8776.5.111705.ACTGAT.fastq.gz,33_HOW6,33,8776.5.111705.ACTGAT.fastq.gz,8776.5.111705.ACTGAT,mg33H_6,June-10-2014,high,high,6,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_28_LOW6_[LakWasMet28_LOW6]/Raw_Data/8776.5.111705.CGTACG.fastq.gz,28_LOW6,28,8776.5.111705.CGTACG.fastq.gz,8776.5.111705.CGTACG,mg28L_6,June-10-2014,low,low,6,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_34_HOW6_[LakWasMet34_HOW6]/Raw_Data/8776.5.111705.ATGAGC.fastq.gz,34_HOW6,34,8776.5.111705.ATGAGC.fastq.gz,8776.5.111705.ATGAGC,mg34H_6,June-10-2014,high,high,6,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_37_LOW7_[LakWasMet37_LOW7]/Raw_Data/8776.6.111718.ATTCCT.fastq.gz,37_LOW7,37,8776.6.111718.ATTCCT.fastq.gz,8776.6.111718.ATTCCT,mg37L_7,June-17-2014,low,low,7,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_43_HOW7_[LakWasMet43_HOW7]/Raw_Data/8776.6.111718.CACGAT.fastq.gz,43_HOW7,43,8776.6.111718.CACGAT.fastq.gz,8776.6.111718.CACGAT,mg43H_7,June-17-2014,high,high,7,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_38_LOW7_[LakWasMet38_LOW7]/Raw_Data/8776.6.111718.CAAAAG.fastq.gz,38_LOW7,38,8776.6.111718.CAAAAG.fastq.gz,8776.6.111718.CAAAAG,mg38L_7,June-17-2014,low,low,7,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_44_HOW7_[LakWasMet44_HOW7]/Raw_Data/8776.6.111718.CACTCA.fastq.gz,44_HOW7,44,8776.6.111718.CACTCA.fastq.gz,8776.6.111718.CACTCA,mg44H_7,June-17-2014,high,high,7,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_39_LOW7_[LakWasMet39_LOW7]/Raw_Data/8776.6.111718.CAACTA.fastq.gz,39_LOW7,39,8776.6.111718.CAACTA.fastq.gz,8776.6.111718.CAACTA,mg39L_7,June-17-2014,low,low,7,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_45_HOW7_[LakWasMet45_HOW7]/Raw_Data/8776.6.111718.CAGGCG.fastq.gz,45_HOW7,45,8776.6.111718.CAGGCG.fastq.gz,8776.6.111718.CAGGCG,mg45H_7,June-17-2014,high,high,7,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_40_LOW7_[LakWasMet40_LOW7]/Raw_Data/8776.6.111718.CACCGG.fastq.gz,40_LOW7,40,8776.6.111718.CACCGG.fastq.gz,8776.6.111718.CACCGG,mg40L_7,June-17-2014,low,low,7,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_46_HOW7_[LakWasMet46_HOW7]/Raw_Data/8776.6.111718.CATGGC.fastq.gz,46_HOW7,46,8776.6.111718.CATGGC.fastq.gz,8776.6.111718.CATGGC,mg46H_7,June-17-2014,high,high,7,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_49_LOW8_[LakWasMet49_LOW8]/Raw_Data/8776.6.111718.CATTTT.fastq.gz,49_LOW8,49,8776.6.111718.CATTTT.fastq.gz,8776.6.111718.CATTTT,mg49L_8,June-24-2014,low,low,8,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_55_HOW8_[LakWasMet55_HOW8]/Raw_Data/8776.7.111731.CTATAC.fastq.gz,55_HOW8,55,8776.7.111731.CTATAC.fastq.gz,8776.7.111731.CTATAC,mg55H_8,June-24-2014,high,high,8,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_50_LOW8_[LakWasMet50_LOW8]/Raw_Data/8776.6.111718.CCAACA.fastq.gz,50_LOW8,50,8776.6.111718.CCAACA.fastq.gz,8776.6.111718.CCAACA,mg50L_8,June-24-2014,low,low,8,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_56_HOW8_[LakWasMet56_HOW8]/Raw_Data/8776.7.111731.CTCAGA.fastq.gz,56_HOW8,56,8776.7.111731.CTCAGA.fastq.gz,8776.7.111731.CTCAGA,mg56H_8,June-24-2014,high,high,8,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_51_LOW8_[LakWasMet51_LOW8]/Raw_Data/8776.6.111718.CGGAAT.fastq.gz,51_LOW8,51,8776.6.111718.CGGAAT.fastq.gz,8776.6.111718.CGGAAT,mg51L_8,June-24-2014,low,low,8,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_57_HOW8_[LakWasMet57_HOW8]/Raw_Data/8776.7.111731.GACGAC.fastq.gz,57_HOW8,57,8776.7.111731.GACGAC.fastq.gz,8776.7.111731.GACGAC,mg57H_8,June-24-2014,high,high,8,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_52_LOW8_[LakWasMet52_LOW8]/Raw_Data/8776.6.111718.CTAGCT.fastq.gz,52_LOW8,52,8776.6.111718.CTAGCT.fastq.gz,8776.6.111718.CTAGCT,mg52L_8,June-24-2014,low,low,8,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_58_HOW8_[LakWasMet58_HOW8]/Raw_Data/8776.7.111731.TAATCG.fastq.gz,58_HOW8,58,8776.7.111731.TAATCG.fastq.gz,8776.7.111731.TAATCG,mg58H_8,June-24-2014,high,high,8,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_61_LOW9_[LakWasMet61_LOW9]/Raw_Data/8776.7.111731.TACAGC.fastq.gz,61_LOW9,61,8776.7.111731.TACAGC.fastq.gz,8776.7.111731.TACAGC,mg61L_9,July-1-2014,low,low,9,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_67_HOW9_[LakWasMet67_HOW9]/Raw_Data/8776.7.111731.TCGAAG.fastq.gz,67_HOW9,67,8776.7.111731.TCGAAG.fastq.gz,8776.7.111731.TCGAAG,mg67H_9,July-1-2014,high,high,9,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_62_LOW9_[LakWasMet62_LOW9]/Raw_Data/8776.7.111731.TATAAT.fastq.gz,62_LOW9,62,8776.7.111731.TATAAT.fastq.gz,8776.7.111731.TATAAT,mg62L_9,July-1-2014,low,low,9,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_68_HOW9_[LakWasMet68_HOW9]/Raw_Data/8776.7.111731.TCGGCA.fastq.gz,68_HOW9,68,8776.7.111731.TCGGCA.fastq.gz,8776.7.111731.TCGGCA,mg68H_9,July-1-2014,high,high,9,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_63_LOW9_[LakWasMet63_LOW9]/Raw_Data/8776.7.111731.TCATTC.fastq.gz,63_LOW9,63,8776.7.111731.TCATTC.fastq.gz,8776.7.111731.TCATTC,mg63L_9,July-1-2014,low,low,9,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_69_HOW9_[LakWasMet69_HOW9]/Raw_Data/8776.7.111731.AAACAT.fastq.gz,69_HOW9,69,8776.7.111731.AAACAT.fastq.gz,8776.7.111731.AAACAT,mg69H_9,July-1-2014,high,high,9,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_64_LOW9_[LakWasMet64_LOW9]/Raw_Data/8776.7.111731.TCCCGA.fastq.gz,64_LOW9,64,8776.7.111731.TCCCGA.fastq.gz,8776.7.111731.TCCCGA,mg64L_9,July-1-2014,low,low,9,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_70_HOW9_[LakWasMet70_HOW9]/Raw_Data/8776.7.111731.AAAGCA.fastq.gz,70_HOW9,70,8776.7.111731.AAAGCA.fastq.gz,8776.7.111731.AAAGCA,mg70H_9,July-1-2014,high,high,9,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_73_LOW10_[LakWasMe73_LOW10]/Raw_Data/8777.1.112183.AAATGC.fastq.gz,73_LOW10,73,8777.1.112183.AAATGC.fastq.gz,8777.1.112183.AAATGC,mg73L_10,July-8-2014,low,high,10,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_79_HOW10_[LakWasMe79_HOW10]/Raw_Data/8777.1.112183.AAGCGA.fastq.gz,79_HOW10,79,8777.1.112183.AAGCGA.fastq.gz,8777.1.112183.AAGCGA,mg79H_10,July-8-2014,high,low,10,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_74_LOW10_[LakWasMe74_LOW10]/Raw_Data/8777.1.112183.AACAAA.fastq.gz,74_LOW10,74,8777.1.112183.AACAAA.fastq.gz,8777.1.112183.AACAAA,mg74L_10,July-8-2014,low,high,10,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_80_HOW10_[LakWasMe80_HOW10]/Raw_Data/8777.1.112183.AAGGAC.fastq.gz,80_HOW10,80,8777.1.112183.AAGGAC.fastq.gz,8777.1.112183.AAGGAC,mg80H_10,July-8-2014,high,low,10,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_75_LOW10_[LakWasMe75_LOW10]/Raw_Data/8777.1.112183.AACTTG.fastq.gz,75_LOW10,75,8777.1.112183.AACTTG.fastq.gz,8777.1.112183.AACTTG,mg75L_10,July-8-2014,low,high,10,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_81_HOW10_[LakWasMe81_HOW10]/Raw_Data/8777.1.112183.AATAGG.fastq.gz,81_HOW10,81,8777.1.112183.AATAGG.fastq.gz,8777.1.112183.AATAGG,mg81H_10,July-8-2014,high,low,10,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_76_LOW10_[LakWasMe76_LOW10]/Raw_Data/8777.1.112183.AAGACT.fastq.gz,76_LOW10,76,8777.1.112183.AAGACT.fastq.gz,8777.1.112183.AAGACT,mg76L_10,July-8-2014,low,high,10,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_82_HOW10_[LakWasMe82_HOW10]/Raw_Data/8777.1.112183.ACAAAC.fastq.gz,82_HOW10,82,8777.1.112183.ACAAAC.fastq.gz,8777.1.112183.ACAAAC,mg82H_10,July-8-2014,high,low,10,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_85_LOW11_[LakWasMe85_LOW11]/Raw_Data/8777.1.112183.ACATCT.fastq.gz,85_LOW11,85,8777.1.112183.ACATCT.fastq.gz,8777.1.112183.ACATCT,mg85L_11,July-15-2014,low,high,11,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_91_HOW11_[LakWasMe91_HOW11]/Raw_Data/8777.2.112196.ACTCTC.fastq.gz,91_HOW11,91,8777.2.112196.ACTCTC.fastq.gz,8777.2.112196.ACTCTC,mg91H_11,July-15-2014,high,low,11,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_86_LOW11_[LakWasMe86_LOW11]/Raw_Data/8777.1.112183.ACCCAG.fastq.gz,86_LOW11,86,8777.1.112183.ACCCAG.fastq.gz,8777.1.112183.ACCCAG,mg86L_11,July-15-2014,low,high,11,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_92_HOW11_[LakWasMe92_HOW11]/Raw_Data/8777.2.112196.AGAAGA.fastq.gz,92_HOW11,92,8777.2.112196.AGAAGA.fastq.gz,8777.2.112196.AGAAGA,mg92H_11,July-15-2014,high,low,11,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_87_LOW11_[LakWasMe87_LOW11]/Raw_Data/8777.1.112183.ACCGGC.fastq.gz,87_LOW11,87,8777.1.112183.ACCGGC.fastq.gz,8777.1.112183.ACCGGC,mg87L_11,July-15-2014,low,high,11,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_93_HOW11_[LakWasMe93_HOW11]/Raw_Data/8777.2.112196.AGATAG.fastq.gz,93_HOW11,93,8777.2.112196.AGATAG.fastq.gz,8777.2.112196.AGATAG,mg93H_11,July-15-2014,high,low,11,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_88_LOW11_[LakWasMe88_LOW11]/Raw_Data/8777.1.112183.ACGATA.fastq.gz,88_LOW11,88,8777.1.112183.ACGATA.fastq.gz,8777.1.112183.ACGATA,mg88L_11,July-15-2014,low,high,11,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_94_HOW11_[LakWasMe94_HOW11]/Raw_Data/8777.2.112196.AGCATC.fastq.gz,94_HOW11,94,8777.2.112196.AGCATC.fastq.gz,8777.2.112196.AGCATC,mg94H_11,July-15-2014,high,low,11,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_103_HOW12_[LakWasM103_HOW12]/Raw_Data/8777.2.112196.ATCTAT.fastq.gz,103_HOW12,103,8777.2.112196.ATCTAT.fastq.gz,8777.2.112196.ATCTAT,mg103H_12,July-22-2014,high,low,12,1,Metagenome
